Common_Name,11111,22222,33333,44444,55555,Average,SD
fixed_1,30.52,7.43,7.61,7.52,24.76,15.57,11.21
fixed_2,28.98,6.96,31.3,7.18,13.38,17.56,11.80
fixed_4,6.74,8.03,7.71,6.7,8.01,7.44,0.67
fixed_8,7.33,7.36,6.47,8.11,8.9,7.63,0.92
fixed_16,6.38,6.14,6.63,8,8.61,7.15,1.09
fixed_32,9.62,7.55,7.12,6.87,6.86,7.60,1.16
fixed_64,7.12,6.64,8.6,7.09,9.6,7.81,1.24
fixed_128,7.88,10.28,6.88,7.75,8.06,8.17,1.26
fixed_256,6.55,6.58,7.83,8.95,10,7.98,1.50
fixed_512,8.07,6.38,9.23,7.25,6.6,7.51,1.17
fixed_1024,8.12,,7.33,6.56,5.98,7.00,0.93
linear_4,6.08,7.04,6.23,,7.55,6.73,0.69
linear_4-8,6.24,6.28,8.24,7.58,6.14,6.90,0.96
linear_4-16,6.11,6.42,6.87,6.05,5.84,6.26,0.40
linear_4-32,6.21,5.66,7.19,7.07,7.9,6.81,0.88
linear_4-64,6.37,6.98,7.86,6.7,7.77,7.14,0.66
linear_4-128,6.94,7.72,6.6,6.2,6.6,6.81,0.57
linear_4-256,5.99,6.15,7.13,7.67,7.43,6.87,0.76
linear_4-512,6.24,7.07,6.29,6.65,6.48,6.55,0.34
linear_4-1024,6.64,7.84,8.06,6.43,6.39,7.07,0.81
saturate_4-1.41,7,,6.2,6.64,6.87,6.68,0.35
saturate_4-2,6.51,6.82,6.41,5.65,5.8,6.24,0.49
saturate_4-4,7.36,6.08,5.75,5.67,6.62,6.30,0.70
saturate-linear_4-1,6.43,,6.68,6.52,5.98,6.40,0.30
saturate-linear_4-2,,,6.69,6.06,7.46,6.74,0.70
saturate-linear_4-4,,6.22,6.79,6.91,7.4,6.83,0.48
saturate-linear_4-8,5.98,6.3,7.8,6.61,6.56,6.65,0.69
saturate-linear_4-16,6.55,6.92,6.13,6.55,5.92,6.41,0.39
