Common_Name,11111,22222,33333,44444,55555,Average,SD
fixed_1_1,52.32,15.76,19.74,21.67,15.92,25.08,15.43
fixed_4_4,16.46,16.23,13.27,14.29,13.21,14.69,1.57
fixed_16_16,16.42,15.08,14.8,13.24,13.15,14.54,1.37
fixed_64_64,13.12,16.2,15.54,13.35,16.66,14.97,1.64
fixed_256_256,16.52,14.95,17.09,16.54,13.58,15.74,1.45
fixed_1024_1024,14.04,13.33,13.35,16.48,16.56,14.75,1.64
linear_4_8,12.98,17.6,14.63,16.26,15.92,15.48,1.75
linear_4_16,12.39,14.26,15.8,12.83,14.3,13.92,1.35
linear_4_64,13.11,13.16,17.13,14.8,16.13,14.87,1.78
linear_4_256,16.25,16.36,18.05,12.56,16.31,15.91,2.02
linear_4_1024,15.88,16.41,16.06,13.78,16.46,15.72,1.11
saturate-linear_4_1,16.28,14.73,13.29,14.11,14.84,14.65,1.1
saturate-linear_4_2,15.62,15.27,15.83,13.72,17.42,15.57,1.32
saturate-linear_4_4,,16.98,,14.59,17.52,16.36,1.56
saturate-linear_4_8,16.01,16.82,,17.08,16.21,16.53,0.5
saturate-linear_4_16,62.35,13.75,14.46,15.98,16.11,24.53,21.17
saturate_4_1.41,,14.98,16.85,15.4,15.53,15.69,0.81
saturate_4_2,13.92,,12.78,13.19,13.42,13.33,0.48
saturate_4_4,13.8,16.08,12.45,13.53,16.89,14.55,1.86
