Name,FID Score,IS Score,FID Mean,FID SD,FID Mean,FID SD
mish_network_cifar10_11111_2024_04_04_19_41_14,5.33,9.68,5.51,0.12,9.73,0.12
mish_network_cifar10_12345_2024_04_04_19_33_50,5.63,9.77,,,,
mish_network_cifar10_22222_2024_04_04_19_41_14,5.52,9.64,,,,
mish_network_cifar10_33333_2024_04_04_19_55_47,5.64,9.65,,,,
mish_network_cifar10_44444_2024_04_04_19_56_12,5.44,9.8,,,,
mish_network_cifar10_55555_2024_04_04_21_10_01,5.49,9.82,,,,
,,,,,,
pmishact_large_cifar10_11111_2024_04_18_08_34_37,5.4,9.57,5.32,0.17,9.63,0.17
pmishact_large_cifar10_12345_2024_04_18_08_28_58,5.44,9.73,,,,
pmishact_large_cifar10_22222_2024_04_18_08_58_01,5.41,9.54,,,,
pmishact_large_cifar10_33333_2024_04_18_19_59_27,4.97,9.8,,,,
pmishact_large_cifar10_44444_2024_04_18_20_20_32,5.32,9.66,,,,
pmishact_large_cifar10_55555_2024_04_19_01_57_42,5.34,9.49,,,,
,,,,,,
pmishact_small_cifar10_11111_2024_04_19_01_57_42,6.04,9.65,5.81,0.25,9.58,0.25
pmishact_small_cifar10_12345_2024_04_19_01_57_42,5.45,9.64,,,,
pmishact_small_cifar10_22222_2024_04_19_01_57_42,5.75,9.41,,,,
pmishact_small_cifar10_33333_2024_04_19_01_57_42,5.63,9.6,,,,
pmishact_small_cifar10_44444_2024_04_19_01_57_42,5.89,9.51,,,,
pmishact_small_cifar10_55555_2024_04_19_01_57_42,6.1,9.65,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
pmishact_small_cifar10_11111_2024_04_19_01_57_42,6.040493782,9.653476715,5.81,0.25,9.58,0.25
pmishact_small_cifar10_12345_2024_04_19_01_57_42,5.454295399,9.63727951,,,,
pmishact_small_cifar10_22222_2024_04_19_01_57_42,5.75141889,9.406988144,,,,
pmishact_small_cifar10_33333_2024_04_19_01_57_42,5.629531166,9.600251198,,,,
pmishact_small_cifar10_44444_2024_04_19_01_57_42,5.891097285,9.506997108,,,,
pmishact_small_cifar10_55555_2024_04_19_01_57_42,6.098374181,9.64846611,,,,
pnew_large_cifar10_11111_2024_04_09_00_00_50,5.511530296,9.769342422,5.23,0.18,9.63,0.18
pnew_large_cifar10_12345_2024_04_08_23_11_33,5.038509742,9.666173935,,,,
pnew_large_cifar10_22222_2024_04_09_00_02_46,5.103017431,9.615001678,,,,
pnew_large_cifar10_33333_2024_04_09_00_21_45,5.152157917,9.554438591,,,,
pnew_large_cifar10_44444_2024_04_09_00_55_28,5.188325062,9.554748535,,,,
pnew_large_cifar10_55555_2024_04_09_01_48_50,5.369324905,9.6431427,,,,
,,,,,,
,,,,,,
,,,,,,
prmmish_large_cifar10_11111_2024_04_12_03_56_56,5.173208848,9.526732445,5.51,0.3,9.62,0.3
prmmish_large_cifar10_12345_2024_04_12_01_36_49,5.46003436,9.665019035,,,,
prmmish_large_cifar10_22222_2024_04_12_03_56_56,6.017618622,9.685929298,,,,
prmmish_large_cifar10_33333_2024_04_12_06_57_48,5.300199276,9.510328293,,,,
prmmish_large_cifar10_44444_2024_04_12_08_42_04,5.6861601,9.63568306,,,,
prmmish_large_cifar10_55555_2024_04_12_18_56_07,5.436330866,9.718655586,,,,
prmmish_small_cifar10_11111_2024_04_12_21_49_33,5.943073199,9.520261765,5.91,0.22,9.59,0.22
prmmish_small_cifar10_12345_2024_04_12_20_48_20,5.850569818,9.582410812,,,,
prmmish_small_cifar10_22222_2024_04_12_22_59_06,5.916121209,9.565564156,,,,
prmmish_small_cifar10_33333_2024_04_13_00_01_05,6.11487268,9.726728439,,,,
prmmish_small_cifar10_44444_2024_04_13_00_14_46,6.101475055,9.506877899,,,,
prmmish_small_cifar10_55555_2024_04_13_00_31_20,5.513712757,9.646439552,,,,
