Name,FID Score,IS Score,FID Mean,FID SD,FID Mean,FID SD
Z_dim240_pmishact_large_cifar10_11111_2024_04_20_03_00_38,4.94,9.81,5.4,0.27,9.65,0.27
Z_dim240_pmishact_large_cifar10_12345_2024_04_20_03_00_38,5.67,9.49,,,,
Z_dim240_pmishact_large_cifar10_22222_2024_04_20_03_00_38,5.31,9.65,,,,
Z_dim240_pmishact_large_cifar10_33333_2024_04_20_03_00_38,5.36,9.68,,,,
Z_dim240_pmishact_large_cifar10_44444_2024_04_20_03_00_38,5.44,9.64,,,,
Z_dim240_pmishact_large_cifar10_55555_2024_04_20_03_00_38,5.66,9.63,,,,
mish_a_network_cifar10_11111_2024_04_04_21_28_06,5.34,9.57,5.32,0.4,9.63,0.4
mish_a_network_cifar10_12345_2024_04_04_21_10_01,5.05,9.55,,,,
mish_a_network_cifar10_22222_2024_04_04_21_36_03,6.04,9.43,,,,
mish_a_network_cifar10_33333_2024_04_04_21_36_03,5.4,9.8,,,,
mish_a_network_cifar10_44444_2024_04_05_06_11_42,4.93,9.73,,,,
mish_a_network_cifar10_55555_2024_04_05_07_01_43,5.16,9.73,,,,
mish_b_large_cifar10_11111_2024_04_06_16_49_48,5.48,9.61,5.44,0.19,9.58,0.19
mish_b_large_cifar10_12345_2024_04_06_16_49_48,5.55,9.56,,,,
mish_b_large_cifar10_22222_2024_04_06_16_49_48,5.28,9.54,,,,
mish_b_large_cifar10_33333_2024_04_06_16_49_48,5.65,9.63,,,,
mish_b_large_cifar10_44444_2024_04_06_16_49_48,5.52,9.58,,,,
mish_b_large_cifar10_55555_2024_04_06_16_49_49,5.15,9.58,,,,
mish_network_cifar10_11111_2024_04_04_19_41_14,5.33,9.68,5.51,0.12,9.73,0.12
mish_network_cifar10_12345_2024_04_04_19_33_50,5.63,9.77,,,,
mish_network_cifar10_22222_2024_04_04_19_41_14,5.52,9.64,,,,
mish_network_cifar10_33333_2024_04_04_19_55_47,5.64,9.65,,,,
mish_network_cifar10_44444_2024_04_04_19_56_12,5.44,9.8,,,,
mish_network_cifar10_55555_2024_04_04_21_10_01,5.49,9.82,,,,
new_large_cifar10_11111_2024_04_08_19_01_01,5.68,9.48,5.66,0.14,9.51,0.14
new_large_cifar10_12345_2024_04_08_18_52_17,5.84,9.42,,,,
new_large_cifar10_22222_2024_04_08_19_07_34,5.81,9.75,,,,
new_large_cifar10_33333_2024_04_08_19_16_03,5.54,9.41,,,,
new_large_cifar10_44444_2024_04_08_19_18_33,5.6,9.59,,,,
new_large_cifar10_55555_2024_04_08_19_19_04,5.52,9.44,,,,
pmish_network_cifar10_11111_2024_04_05_12_12_34,5.71,9.38,5.36,0.29,9.58,0.29
pmish_network_cifar10_12345_2024_04_05_12_12_34,5.45,9.6,,,,
pmish_network_cifar10_22222_2024_04_05_12_12_26,4.95,9.6,,,,
pmish_network_cifar10_33333_2024_04_05_12_12_34,5.08,9.69,,,,
pmish_network_cifar10_44444_2024_04_05_12_13_39,5.47,9.67,,,,
pmish_network_cifar10_55555_2024_04_05_12_31_25,5.51,9.55,,,,
pmish_small_cifar10_11111_2024_04_13_05_43_03,5.84,9.58,5.68,0.15,9.56,0.15
pmish_small_cifar10_12345_2024_04_13_03_57_39,5.75,9.62,,,,
pmish_small_cifar10_22222_2024_04_13_05_43_03,5.84,9.38,,,,
pmish_small_cifar10_33333_2024_04_13_05_49_33,5.5,9.54,,,,
pmish_small_cifar10_44444_2024_04_13_06_47_08,5.54,9.63,,,,
pmish_small_cifar10_55555_2024_04_13_08_30_24,5.61,9.62,,,,
pmishact_large_cifar10_11111_2024_04_18_08_34_37,5.4,9.57,5.32,0.17,9.63,0.17
pmishact_large_cifar10_12345_2024_04_18_08_28_58,5.44,9.73,,,,
pmishact_large_cifar10_22222_2024_04_18_08_58_01,5.41,9.54,,,,
pmishact_large_cifar10_33333_2024_04_18_19_59_27,4.97,9.8,,,,
pmishact_large_cifar10_44444_2024_04_18_20_20_32,5.32,9.66,,,,
pmishact_large_cifar10_55555_2024_04_19_01_57_42,5.34,9.49,,,,
pmishact_small_cifar10_11111_2024_04_19_01_57_42,6.04,9.65,5.81,0.25,9.58,0.25
pmishact_small_cifar10_12345_2024_04_19_01_57_42,5.45,9.64,,,,
pmishact_small_cifar10_22222_2024_04_19_01_57_42,5.75,9.41,,,,
pmishact_small_cifar10_33333_2024_04_19_01_57_42,5.63,9.6,,,,
pmishact_small_cifar10_44444_2024_04_19_01_57_42,5.89,9.51,,,,
pmishact_small_cifar10_55555_2024_04_19_01_57_42,6.1,9.65,,,,
pnew_large_cifar10_11111_2024_04_09_00_00_50,5.51,9.77,5.23,0.18,9.63,0.18
pnew_large_cifar10_12345_2024_04_08_23_11_33,5.04,9.67,,,,
pnew_large_cifar10_22222_2024_04_09_00_02_46,5.1,9.62,,,,
pnew_large_cifar10_33333_2024_04_09_00_21_45,5.15,9.55,,,,
pnew_large_cifar10_44444_2024_04_09_00_55_28,5.19,9.55,,,,
pnew_large_cifar10_55555_2024_04_09_01_48_50,5.37,9.64,,,,
,,,,,,
,,,,,,
,,,,,,
prmmish_large_cifar10_11111_2024_04_12_03_56_56,5.17,9.53,5.512258679,0.301345903,9.62372462,0.301345903
prmmish_large_cifar10_12345_2024_04_12_01_36_49,5.46,9.67,,,,
prmmish_large_cifar10_22222_2024_04_12_03_56_56,6.02,9.69,,,,
prmmish_large_cifar10_33333_2024_04_12_06_57_48,5.3,9.51,,,,
prmmish_large_cifar10_44444_2024_04_12_08_42_04,5.69,9.64,,,,
prmmish_large_cifar10_55555_2024_04_12_18_56_07,5.44,9.72,,,,
prmmish_small_cifar10_11111_2024_04_12_21_49_33,5.94,9.52,5.906637453,0.21921428,9.591380437,0.21921428
prmmish_small_cifar10_12345_2024_04_12_20_48_20,5.85,9.58,,,,
prmmish_small_cifar10_22222_2024_04_12_22_59_06,5.92,9.57,,,,
prmmish_small_cifar10_33333_2024_04_13_00_01_05,6.11,9.73,,,,
prmmish_small_cifar10_44444_2024_04_13_00_14_46,6.1,9.51,,,,
prmmish_small_cifar10_55555_2024_04_13_00_31_20,5.51,9.65,,,,
